Player,Position,Team,Rebounds,Assists,Steals,Blocks,Turnovers,Fantasy_Points
Jaren Jackson Jr.,C,MEM,0,0,0,0,0,179.8
Kelly Oubre Jr.,SF,PHL,0,0,0,0,0,86.4
Clint Capela,C,ATL,0,0,0,0,0,73.0
Trae Young,PG,ATL,0,0,0,0,0,165.2
Ja Morant,PG,MEM,0,0,0,0,0,82.8
Walker Kessler,C,UTA,0,0,0,0,0,84.8
Dillon Brooks,SF,HOU,0,0,0,0,0,70.6
Carlton Carrington,PG,WAS,0,0,0,0,0,93.5
James Harden,PG,LAC,0,0,0,0,0,172.6
Jrue Holiday,PG,BOS,0,0,0,0,0,88.6
Dennis Schroder,PG,GSW,0,0,0,0,0,113.9
Draymond Green,PF,GSW,0,0,0,0,0,115.5
Tyrese Haliburton,PG,IND,0,0,0,0,0,197.2
Cade Cunningham,PG,DET,0,0,0,0,0,213.5
Jalen Suggs,PG,ORL,0,0,0,0,0,107.0
Zaccharie Risacher,SF,ATL,0,0,0,0,0,112.8
Shaedon Sharpe,SG,POR,0,0,0,0,0,33.5
Grayson Allen,SG,PHO,0,0,0,0,0,28.6
DeMar DeRozan,SF,SAC,0,0,0,0,0,171.8
Kyrie Irving,PG,DAL,0,0,0,0,0,229.1
Tari Eason,SF,HOU,0,0,0,0,0,45.8
Kyshawn George,SG,WAS,0,0,0,0,0,31.9
Dorian Finney-Smith,PF,LAL,0,0,0,0,0,72.5
Alexandre Sarr,C,WAS,0,0,0,0,0,83.3
Nikola Vucevic,C,CHI,0,0,0,0,0,190.4
Zach Edey,C,MEM,0,0,0,0,0,148.1
Jaden McDaniels,SF,MIN,0,0,0,0,0,49.5
Derrick Jones Jr.,SF,LAC,0,0,0,0,0,7.2
Alperen Sengun,C,HOU,0,0,0,0,0,185.1
Tyus Jones,PG,PHO,0,0,0,0,0,111.4
Russell Westbrook,PG,DEN,0,0,0,0,0,143.2
Jonas Valanciunas,C,WAS,0,0,0,0,0,102.0
